place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,video_caption,confidence_high,popularity_score,aliases
Ở Lại Mây,địa điểm checkin,1,74,3732,9164,,https://www.tiktok.com/@olaimay.dalat/video/7628473827680455943,"Săn hoàng hôn Đà Lạt không thể quên địa điểm Ở Lại Mây - Không chỉ có nhiều góc checkin siêu đẹp, dùng trà chiều nóng hổi cùng khoai bắp nướng mà Mây còn có BBQ và Đêm nhạc Acoustic mỗi đêm tất cả các ngày trong tuần !
#olaimay #demnhacolaimay #hoanghondalat #dalatangi #dalatdidau",1,10.45,
địa điểm check in healing,địa điểm checkin,1,149,2921,7374,,https://www.tiktok.com/@alvinodalat/video/7621150466788871432,"Giới thiệu thêm cho mọi người một địa điểm check in healing tại Đà Lạt. 
#dalat #viral ",1,10.44,
Rackie Burger,cafe,1,40,3232,175,,https://www.tiktok.com/@rackie.burgerdalat/video/7594445599441816852,"Rackie Burger - Handmade burger in Dalat 
Open : 17h - 22h
📍 Số 2 Huyền Trân Công Chúa, Đà Lạt 
#burgerdalat #dalat #dalatfood #rackieburger #loveburger ",1,10.36,
DEVON COTTAGE Tea Room,cafe,1,33,3031,24,,https://www.tiktok.com/@caphedalatviewdep/video/7400256633311382791,"DEVON COTTAGE Tea Room in Dalat
#cafedalat #coffeetiktok #coffedalat #dalat #xh #xuhuong #xuhuong2024 #xhhhhhhhhhhhhhhhhhhhhhhh #fyp #viral #foryoupage ",1,10.34,
đồi chè cầu đất,thiên nhiên,1,101,2373,959,,https://www.tiktok.com/@thch.i.trekk/video/7635134436803218709,Săn mây đồi chè Cầu Đất 2/5 #sanmay #sanmaydalat #dalat #doichecaudat #viralvideo ,1,10.34,
Khu vườn mùa hè,cafe,1,97,2118,688,,https://www.tiktok.com/@khuvuonmuahe/video/7529876407002959122,"Khu vườn mùa hè hẹn bạn 🌿🍃
📍27 hẻm 1 , đường Đặng Thái Thân , p3 , Đà lạt 
📞 093 6525327
#reviewdalat #dalattrip #khuvuonmuahecafe #khuvuonmuahedalat #caphedalat #dalatcoffee #quancaphedepdalat #xuhuong2024 #viralvideo #cafedalat #giangsinhdalat #lear#caphe#cafe#coffee#reviewcafe #khuvuonmuahecafe#dalat #foryou#viral #travel #hastag#delicious #vlog#xuhuong #fyp ",1,10.31,
HAMY HOUSE,homestay,1,40,2221,15000,1xx,https://www.tiktok.com/@hamyhousedalat/video/7637027690880486677,"Lâu lắm rồi mới quay được trong nhà ☺️ 
HAMY HOUSE là nguyên căn 4p gần trung tâm mà chỉ 1xx🐠/đimmm 💖
#dalat #reviewdalat #xuhuong #hamyhousedalat #homestaydalat ",1,10.26,
vườn cam cara,địa điểm checkin,1,25,2112,2736,,https://www.tiktok.com/@thuy_nina2/video/7438507038516202760,Mời cả nhà ghé tham quan vườn cam cara ruột đỏ nha#dalat #camcara #donduong #dran #dacsanvietnam ,1,10.24,
Cafe xinh,cafe,1,34,1917,6105,high,https://www.tiktok.com/@nanhor_/video/7362513512943357185,"Quán cafe xinh xỉuuuu, mà nước hơi cao tẹo 🥲. Cây cây hoa hoa là thích òi 😘 #2024 #nanhor_ #dalatreview #review #fyp #dalat #food ",0,10.23,
Tiệm Cafe Nhớ Hoài,cafe,1,62,1531,116,,https://www.tiktok.com/@langthanglk/video/7552701224886275336,"TIỆM CAFE NHỚ HOÀI - Là một góc nhỏ giữa thành phố Đà Lạt ồn ào - nó nằm ngay dưới con dóc nhỏ nơi có những bậc cầu thang đặc trưng của những con dóc Đà Lạt - là nơi Trịnh Công Sơn đã đến với MoChico nàng thơ của ông trong những sáng tác về Đà Lạt về giấc sơ sương - hãy đến để trải nghiệm nổi Hoài cổ mộc mạc của 1 quán cafe góc đường.
#cafenhohoai #đalat #langthangđườngphố #khampha #xuhuongtiktok ",1,10.22,
LIMI WORLD,địa điểm checkin,1,20,1441,0,,https://www.tiktok.com/@quanthedulichpini/video/7433598646714748177,"🌟 LIMI WORLD 🌟 – Thiên đường vui chơi tuyệt vời cho các bé tại Pi Ni Đà Lạt! 🎡
Đến LIMI WORLD, các bé sẽ được thỏa sức khám phá thế giới trò chơi đầy màu sắc với vô vàn hoạt động lý thú và sáng tạo. Đây không chỉ là nơi vui chơi mà còn giúp các bé phát triển kỹ năng và khám phá bản thân qua từng trò chơi hấp dẫn! 🎨🎠
👨‍👩‍👧‍👦 Hãy đến Pi Ni và mang lại cho bé những kỷ niệm đáng nhớ tại LIMI WORLD – nơi bé thỏa sức vui chơi và học hỏi! 🌈💖
-------------------------------
💞𝓠𝓾𝓪̂̀𝓷 𝓣𝓱𝓮̂̉ 𝓚𝓱𝓾 𝓓𝓾 𝓛𝓲̣𝓬𝓱 𝓟𝓲 𝓝𝓲 Đ𝓪̀ 𝓛𝓪̣𝓽💞
𝐴𝑑𝑑: thôn Đạ Nghịt, xã Lát, huyện Lạc Dương, tỉnh Lâm Đồng
𝐻𝑜𝑡𝑙𝑖𝑛𝑒: 02633 733888
#KDLPiNi #DulichDaLat #khamphadalat #xh #xuhuong2024tiktok❤️🌈✔️ #xuhuong2024 #dulich #dulichdalat2024 #xuhuong2024❤️ #DaLat #baby #playstation #kids #playground",1,10.16,
Vườn cam canh ở K'long K'lanh,địa điểm checkin,1,60,985,2681,,https://www.tiktok.com/@lcd_dalat/video/7590671504824749332,"""Khi cuộc đời cho bạn quả Quýt nhưng mình thì chọn quả Cam 🍊"" 😆😆
Chị Thảo lên Đà Lạt chơi. Nên 2 chị em mình sẽ dẫn đi vườn cam canh ở K'long K'lanh tham quan và hái ít về làm quà. Tuy ở xứ lạnh nhưng cam vẫn rất ngọt và ngon luôn 🤤🤤😍😍🍊🍊#dalat #yeudalat #camcanh🍊 #vuoncamcanhdalat #🏳️‍🌈 ",1,10.16,
35 Trạng Trình,chợ quán,1,52,959,249,7k-8k,https://www.tiktok.com/@bepnhagau.dalat/video/7538436147542871303,"Ăn vặt Đà Lạt giá chỉ từ 7k-8k
35 Trạng Trình (nhà gỗ xinh xắn)
#bepnhagau #anvatdalat #dalat #foodie ",1,10.15,
Tiệm cà phê Hoàng Hôn Chiều,cafe,1,50,900,63,,https://www.tiktok.com/@onenightstation/video/7551067372229102866,"Tiệm cà phê Hoàng Hôn Chiều
 📸 2024 Dec, 14
•
•
• 
#dalat #vietnam #เวียดนาม #ดาลัด #เที่ยวเวียดนาม ",1,10.14,
Louisville,khác,1,54,658,1126,,https://www.tiktok.com/@dalatscafe/video/7637593131508043039,available this mother's day weekend 🫶🫶🫶 #dalatscafe #louisvilleky,0,10.12,
Trạm Nắng,địa điểm checkin,1,32,741,6,,https://www.tiktok.com/@tramnangvuaanvuachill/video/7638631491089501458,"Đón hoàng hôn tại Trạm Nắng 😋
#tramnang #tramnangbbq #dalatangi #quannuongdalat #tramnangdalat",1,10.11,
Tiệm cà phê trong Rừng,cafe,1,26,598,118,,https://www.tiktok.com/@vudasar/video/7590390530903641364,"Buổi cà phê ngày đầu tiên của 2026 của Tiệm cà phê trong Rừng 
#dalatcamp 
#dasar 
#VuoDasar 
#outdoor ",1,10.09,
Chuyện Của Mơ,cafe,1,24,568,15200,,https://www.tiktok.com/@vnexpress_hanoi/video/7639762005133479186,"The dreamy café in Da Lat 🇻🇳☕✨



Location: Chuyện Của Mơ



It truly feels like stepping into a fairytale - soft lights, cozy corners, and peaceful views 🌿💛

For the best seats with a view, it’s better to make a reservation in advance.

The place gets crowded in the evening, so try to arrive before 5:30 PM.



#dalat #vietnamtravel #cafedalate #chuyencuamo  #travelvibes ",1,10.08,
Cafe Chiu Chiu,cafe,1,22,395,1099,,https://www.tiktok.com/@hoang.anh.822/video/7496913074838916383,Cafe Chiu Chiu ...#dalat #vietnamtrip #dulichdalat #caphedalat #vietnamese #california #usa #xuhuong #tiktok #hottrend,1,10.06,
đồi Hòn Bồ,thiên nhiên,1,10,521,962,,https://www.tiktok.com/@huuhoang27/video/7615615255854599432,"Test Cam Mi15u ngày và đêm tại đồi Hòn Bồ Đà Lạt, xin lỗi trước vì mình không biết chụp 😅 #xiaomi #cảnhđẹpthiênnhiên  #dalat #tym #xăng ",1,10.06,
Thác Pongour,thiên nhiên,1,14,495,4443,,https://www.tiktok.com/@thanhlanbt88/video/7635497474953596167,Thác Pongour được mệnh danh là thác hùng vĩ nhất tại Đà Lạt. Với vẻ đẹp hoang sơ và không kém phần thơ mộng là điểm đến lý tưởng khi khám phá Đà Lạt#thanhlanbt88 #canhdepdalat #khamphadalat #thacnuoc#thacpongour ,1,10.06,
Chồn Cafe,cafe,1,8,373,50,,https://www.tiktok.com/@kdk2801/video/7636235062677179655,vườn cafe Chồn Cafe Với/dalat#fyp#foryou#foryoupage#xuhuong2026 ,1,10.05,
Vũ Homestay Đà Lạt,homestay,1,24,304,3885,"3.x.x – 4.x.x /đêm, 5.x.x – 7.x.x /đêm",https://www.tiktok.com/@vuhomestaydalat25/video/7585116320832752903,"🌿 Sen đá ở Đà Lạt – nhỏ xíu nhưng bền bỉ.
Giữa tiết trời se lạnh và nắng nhẹ, những chậu sen đá nằm yên bên hiên nhà, không cần chăm nhiều nhưng lúc nào cũng xanh. Sen đá ở Đà Lạt nhìn vậy mà rất có hồn, chậm rãi và bình thản như chính nhịp sống nơi đây.

Người ta hay nói sen đá giống con người ở Đà Lạt:
ít nói, không ồn ào, nhưng sống rất lâu và rất bền. Chỉ cần đặt cạnh cửa sổ, có nắng sáng chiếu vào là đủ để thấy một góc nhỏ bình yên.

Đà Lạt có nhiều điều giản dị như thế —
một chậu sen đá, một buổi sáng lạnh, một căn phòng nhìn ra thành phố.

Nếu anh/chị ghé Đà Lạt và muốn tìm một nơi ở yên tĩnh:

🏡 Vũ Homestay Đà Lạt – nhà gỗ vintage, phòng view kính – ban công nhìn thành phố
📍 25/34/3 Nhà Chung – Phường Xuân Hương (Phường 3 cũ)
🌸 Phòng đơn: 3.x.x – 4.x.x /đêm
🌸 Phòng đôi: 5.x.x – 7.x.x /đêm
👥 Nhận 8–12 người
🔥 Có bếp nấu & bếp nướng BBQ
🚲 Cho thuê xe máy
📞 0375.446.420 – 0399.506.311

Có những thứ nhỏ bé ở Đà Lạt,
nhưng lại làm người ta nhớ rất lâu 🌿

⸻

#SenDaDaLat #VuHomestayDaLat
#DaLatSongCham #HomestayDaLat
#GocNhoDaLat #DaLatMuaLanh",1,10.05,
Biệt điện Trần Lệ Xuân,địa điểm checkin,1,6,455,740,,https://www.tiktok.com/@hazelssketches/video/7634577373265956117,"Biệt điện Trần Lệ Xuân - một địa điểm check-in quá đẹp ở Đà Lạt mà gia đình mình tình cờ ghé thăm trong một buổi chiều random không biết đi đâu. Chúng mình là những người khách tham quan duy nhất trong buổi chiều ngày hôm đó. Tiếng gió xào xạc, tiếng chim, tiếng sỏi lạo xạo dưới từng bước chân xen lẫn với chút se lạnh của Đà Lạt làm mình cảm giác như đang được sống lại lịch sử từ hơn nửa thế kỷ trước.

#madamededalat #dalat #checkindalat ",1,10.05,
Tiem Com Tau,cafe,1,8,258,4330,,https://www.tiktok.com/@laurenvacula/video/7629196342413315358,"#stitch with @DW Around The World | Traveler thank you for this rec- this was such a good vegan bahn mi find in Dalat, Vietnam! the bread was delicious and she had some crunchy mushrooms on it too. I routed to this place on Google Maps:

📍Tiem Com Tau  #dalat #vietnam #veganbahnmi #vietnamtravel ",1,10.03,
Cây Cam Ngọt,cafe,1,15,177,123,,https://www.tiktok.com/@trangduongnehehe/video/7638165648136260884,Dẫn con gái nhỏ đi quán Cây Cam Ngọt mà mẹ thích 🍊 #mothersday #caycamngot #dalat ,1,10.03,
A Mía,cafe,1,3,140,2401,,https://www.tiktok.com/@lvtdlion/video/7639352398145752340,"Ghé ngay A Mía có quà có quà 🍭
#dalat #fyp #hot #monngondalat #angiodalat ",1,10.02,
Cafe dừa sầu riêng,cafe,1,3,133,16,100k,https://www.tiktok.com/@caphengondakla/video/7382785585171139856,Cafe dừa sầu riêng giá chỉ 100k #xuhuong #thinhhanh #frending #cafe #caphe #càphesaurieng #xh ,1,10.02,
Banh Mi,khác,1,12,60,161,,https://www.tiktok.com/@cheftybeh/video/7345600548818767137,The best Banh Mi in Dalat,1,10.02,
Thác tại View triệu đô,thiên nhiên,1,8,113,951,,https://www.tiktok.com/@thiendaugau7/video/7639753885875293460,Thác tại View triệu đô #dulichvietnam #dalat #viraltiktok #foryou #fypシ゚ ,1,10.02,
quán siêu xinh,cafe,1,3,39,2582,,https://www.tiktok.com/@gocnhodalat_01/video/7407332379066518791,Mách bảo cho bạn mấy quán siêu xinh này nha #gocnhodalat #dalatdivatrainghiem #dalatreview #coffee ,0,10.01,
