place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,confidence_high,popularity_score,aliases
Vu Homestay Đà Lạt,homestay,1,24,304,3886,"3.x.x – 4.x.x /đêm, 5.x.x – 7.x.x /đêm",https://www.tiktok.com/@vuhomestaydalat25/video/7585116320832752903,1,10.05,
Đặc Sản Nhà Tôm,chợ quán,1,5,437,2582,,https://www.tiktok.com/@gocnhodalat_01/video/7455682538518990087,0,10.05,
Ba Ba Ciu Valley,thiên nhiên,1,19,260,1337,,https://www.tiktok.com/@hoangminh291194/video/7354954666188344577,1,10.04,
Modalat Village,địa điểm checkin,1,10,342,2026,,https://www.tiktok.com/@m.dalats.village/video/7638127496793230613,1,10.04,
Coffee Homestay HĐK,homestay,1,14,218,263,,https://www.tiktok.com/@coffeetrasuahdkdalat/video/7626657632442518805,1,10.04,
Tiem Com Tau,chợ quán,1,8,254,4329,,https://www.tiktok.com/@laurenvacula/video/7629196342413315358,1,10.03,
Tiệm bánh mì ĐÀ LẠT,chợ quán,1,12,160,58,,https://www.tiktok.com/@tiembanhmidalatld/video/7558787033959763218,1,10.03,
KAT HOTEL Bùi Thị Xuân,khách sạn,1,3,136,259,,https://www.tiktok.com/@kathotel_dalat/video/7637108993717980436,1,10.02,
Tam Giác Mạch,cafe,1,2,147,2,,https://www.tiktok.com/@gocnho.dalat/video/7030058273285934363,1,10.02,
CAP 777,cafe,1,3,110,9,,https://www.tiktok.com/@cap777.bar/video/7637868447006723348,1,10.01,
Edin Cafe,cafe,1,2,102,126,,https://www.tiktok.com/@moonlightfloralrva/video/7638872527711915294,1,10.01,
Vạn Hoa Đà Lạt,địa điểm checkin,1,1,67,8007,,https://www.tiktok.com/@kdlvanhoadalat/video/7638834313928199445,1,10.01,
Camping Lý tưởng,địa điểm checkin,1,6,77,58,,https://www.tiktok.com/@_dalatxinhdep/video/6996251672645340417,1,10.01,
Quán siêu xinh,quán cà phê mây | Cafe May,1,3,39,2582,,https://www.tiktok.com/@gocnhodalat_01/video/7407332379066518791,0,10.01,
